Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,1.35405,space,10.60155,z,1,3.4531,0,0,0,21,1,campet,cantet,CAMPET,NWRL,z,2002,2020-10-15_12h20.39.460,ColomboPrimingTaskB,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.381165,0,1,1,14,1,dinital,ditinal,DINITAL,NWTL,z,2002,2020-10-15_12h20.39.460,ColomboPrimingTaskB,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.0848,0,2,2,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,2002,2020-10-15_12h20.39.460,ColomboPrimingTaskB,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.79774,0,3,3,7,1,nursery,nuftery,NURSERY,WRL,m,2002,2020-10-15_12h20.39.460,ColomboPrimingTaskB,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.9505,0,4,4,15,1,etephant,etpheant,ETEPHANT,NWTL,z,2002,2020-10-15_12h20.39.460,ColomboPrimingTaskB,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.63287,0,5,5,19,1,bacoon,barkon,BACOON,NWRL,z,2002,2020-10-15_12h20.39.460,ColomboPrimingTaskB,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.63689,0,6,6,10,1,twitter,twitofr,TWITTER,WRL,m,2002,2020-10-15_12h20.39.460,ColomboPrimingTaskB,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.980305,0,7,7,2,1,festival,fetsival,FESTIVAL,WTL,m,2002,2020-10-15_12h20.39.460,ColomboPrimingTaskB,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.113155,0,8,8,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,2002,2020-10-15_12h20.39.460,ColomboPrimingTaskB,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.25049,0,9,9,18,1,alacus,afogus,ALACUS,NWRL,z,2002,2020-10-15_12h20.39.460,ColomboPrimingTaskB,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
