Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,22.9384,space,16.66528,z,1,0.907555,0,0,0,23,1,cnipper,crupper,CNIPPER,NWRL,z,5562,2020-10-29_13h32.58.193,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.247865,0,1,1,15,1,etephant,etpheant,ETEPHANT,NWTL,z,5562,2020-10-29_13h32.58.193,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.39712,0,2,2,7,1,nursery,nuftery,NURSERY,WRL,m,5562,2020-10-29_13h32.58.193,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.112555,0,3,3,13,1,cobcert,cocbert,COBCERT,NWTL,z,5562,2020-10-29_13h32.58.193,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.16503,0,4,4,11,1,violin,viprin,VIOLIN,WRL,m,5562,2020-10-29_13h32.58.193,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.64653,0,5,5,10,1,twitter,twitofr,TWITTER,WRL,m,5562,2020-10-29_13h32.58.193,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.43766,0,6,6,2,1,festival,fetsival,FESTIVAL,WTL,m,5562,2020-10-29_13h32.58.193,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.532235,0,7,7,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,5562,2020-10-29_13h32.58.193,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.59556,0,8,8,14,1,dinital,ditinal,DINITAL,NWTL,z,5562,2020-10-29_13h32.58.193,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.515905,0,9,9,17,1,flech,felch,FLECH,NWTL,z,5562,2020-10-29_13h32.58.193,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.598865,0,10,10,19,1,bacoon,barkon,BACOON,NWRL,z,5562,2020-10-29_13h32.58.193,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.58463,0,11,11,4,1,laundry,laudnry,LAUNDRY,WTL,m,5562,2020-10-29_13h32.58.193,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
