Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,0.966715,space,8.189625,z,1,1.807055,0,0,0,21,1,campet,cantet,CAMPET,NWRL,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.797535,0,1,1,3,1,fifty,fitfy,FIFTY,WTL,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.844875,0,2,2,10,1,twitter,twitofr,TWITTER,WRL,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.731165,0,3,3,9,1,parcel,pafbel,PARCEL,WRL,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.14658,0,4,4,15,1,etephant,etpheant,ETEPHANT,NWTL,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.230085,0,5,5,4,1,laundry,laudnry,LAUNDRY,WTL,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.24942,0,6,6,2,1,festival,fetsival,FESTIVAL,WTL,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.114435,0,7,7,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,0.917355,0,8,8,17,1,flech,felch,FLECH,NWTL,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.90183,0,9,9,12,1,codfort,cofdort,CODFORT,NWTL,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.21652,0,10,10,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.990905,0,11,11,11,1,violin,viprin,VIOLIN,WRL,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.48437,0,12,12,14,1,dinital,ditinal,DINITAL,NWTL,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.68973,0,13,13,5,1,library,lirbary,LIBRARY,WTL,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.66882,0,14,14,8,1,picture,pimrure,PICTURE,WRL,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.799935,0,15,15,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.872145,0,16,16,19,1,bacoon,barkon,BACOON,NWRL,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.8204,0,17,17,0,1,coral,croal,CORAL,WTL,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.816375,0,18,18,18,1,alacus,afogus,ALACUS,NWRL,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.21673,0,19,19,16,1,clirate,crilate,CLIRATE,NWTL,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.20051,0,20,20,13,1,cobcert,cocbert,COBCERT,NWTL,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.950255,0,21,21,7,1,nursery,nuftery,NURSERY,WRL,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.206745,0,22,22,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.98305,0,23,23,23,1,cnipper,crupper,CNIPPER,NWRL,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,statue,sattue,STATUE,TL1,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,space,2.96594,m,1,0.900115,0,0,0,64,1,,,,,,,,
,,,,,,,,,,,,tronch,tornch,TRONCH,TLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,0.700985,0,1,1,150,1,,,,,,,,
,,,,,,,,,,,,sturfish,strufish,STURFISH,TLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,0,2.36758,0,2,2,139,1,,,,,,,,
,,,,,,,,,,,,enezies,eneizes,ENEZIES,TLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,1.08189,0,3,3,98,1,,,,,,,,
,,,,,,,,,,,,privary,privony,PRIVARY,RLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,1.066605,0,4,4,121,1,,,,,,,,
,,,,,,,,,,,,legend,lafend,LEGEND,RL1,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,1,0.64817,0,5,5,31,1,,,,,,,,
,,,,,,,,,,,,return,retown,RETURN,RL2,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,1,0.61647,0,6,6,53,1,,,,,,,,
,,,,,,,,,,,,playnime,plarmime,PLAYNIME,RLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,1.350035,0,7,7,120,1,,,,,,,,
,,,,,,,,,,,,stull,stlul,STULL,TLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,0,1.415915,0,8,8,136,1,,,,,,,,
,,,,,,,,,,,,emter,etmer,EMTER,TLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,1.66643,0,9,9,99,1,,,,,,,,
,,,,,,,,,,,,winter,wniter,WINTER,TL1,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,1,0.6498,0,10,10,77,1,,,,,,,,
,,,,,,,,,,,,dored,dized,DORED,RLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,0.80043,0,11,11,96,1,,,,,,,,
,,,,,,,,,,,,around,aronud,AROUND,TL2,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,1,0.80001,0,12,12,2,1,,,,,,,,
,,,,,,,,,,,,sunset,snuset,SUNSET,TL1,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,1,0.931785,0,13,13,68,1,,,,,,,,
,,,,,,,,,,,,skirping,skawping,SKIRPING,RLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,0.933465,0,14,14,131,1,,,,,,,,
,,,,,,,,,,,,niffling,nilffing,NIFFLING,TLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,1.1668,0,15,15,116,1,,,,,,,,
,,,,,,,,,,,,story,sotry,STORY,TL1,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,1,0.5496,0,16,16,66,1,,,,,,,,
,,,,,,,,,,,,senved,sevned,SENVED,TLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,0.802175,0,17,17,101,1,,,,,,,,
,,,,,,,,,,,,tourist,tuorist,TOURIST,TL1,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,1,0.699875,0,18,18,72,1,,,,,,,,
,,,,,,,,,,,,singer,sintor,SINGER,RL2,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,1,0.62018,0,19,19,57,1,,,,,,,,
,,,,,,,,,,,,taidor,tiador,TAIDOR,TLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,0.73856,0,20,20,145,1,,,,,,,,
,,,,,,,,,,,,potato,potido,POTATO,RL2,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,1,0.884105,0,21,21,48,1,,,,,,,,
,,,,,,,,,,,,spoff,sopff,SPOFF,TLNW,z,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,z,1,0.768655,0,22,22,143,1,,,,,,,,
,,,,,,,,,,,,referee,refenie,REFEREE,RL2,m,4439,2020-08-04_20h00.30.484,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,m,1,2.700965,0,23,23,52,1,,,,,,,,
