Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,1.454825,space,6.58416,m,1,1.04085,0,0,0,11,1,violin,viprin,VIOLIN,WRL,m,5889,2020-10-07_18h05.12.766,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.078495,0,1,1,16,1,clirate,crilate,CLIRATE,NWTL,z,5889,2020-10-07_18h05.12.766,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.697485,0,2,2,10,1,twitter,twitofr,TWITTER,WRL,m,5889,2020-10-07_18h05.12.766,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.726945,0,3,3,7,1,nursery,nuftery,NURSERY,WRL,m,5889,2020-10-07_18h05.12.766,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.84306,0,4,4,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,5889,2020-10-07_18h05.12.766,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.001685,0,5,5,0,1,coral,croal,CORAL,WTL,m,5889,2020-10-07_18h05.12.766,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.70101,0,6,6,19,1,bacoon,barkon,BACOON,NWRL,z,5889,2020-10-07_18h05.12.766,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.11664,0,7,7,14,1,dinital,ditinal,DINITAL,NWTL,z,5889,2020-10-07_18h05.12.766,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.88097,0,8,8,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,5889,2020-10-07_18h05.12.766,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.785475,0,9,9,13,1,cobcert,cocbert,COBCERT,NWTL,z,5889,2020-10-07_18h05.12.766,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.749495,0,10,10,5,1,library,lirbary,LIBRARY,WTL,m,5889,2020-10-07_18h05.12.766,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.649165,0,11,11,8,1,picture,pimrure,PICTURE,WRL,m,5889,2020-10-07_18h05.12.766,ColomboPrimingTaskB,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
