Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,1.14172,space,8.001815,m,1,1.033255,0,0,0,2,1,festival,fetsival,FESTIVAL,WTL,m,7302,2020-10-17_14h20.42.643,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.966805,0,1,1,21,1,campet,cantet,CAMPET,NWRL,z,7302,2020-10-17_14h20.42.643,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.731635,0,2,2,11,1,violin,viprin,VIOLIN,WRL,m,7302,2020-10-17_14h20.42.643,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.682305,0,3,3,8,1,picture,pimrure,PICTURE,WRL,m,7302,2020-10-17_14h20.42.643,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.69946,0,4,4,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,7302,2020-10-17_14h20.42.643,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.566855,0,5,5,0,1,coral,croal,CORAL,WTL,m,7302,2020-10-17_14h20.42.643,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.65052,0,6,6,19,1,bacoon,barkon,BACOON,NWRL,z,7302,2020-10-17_14h20.42.643,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.76616,0,7,7,12,1,codfort,cofdort,CODFORT,NWTL,z,7302,2020-10-17_14h20.42.643,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.733895,0,8,8,13,1,cobcert,cocbert,COBCERT,NWTL,z,7302,2020-10-17_14h20.42.643,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.599285,0,9,9,3,1,fifty,fitfy,FIFTY,WTL,m,7302,2020-10-17_14h20.42.643,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
