Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,1.07205,space,10.162735,m,1,1.39038,0,0,0,10,1,twitter,twitofr,TWITTER,WRL,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,2.066565,0,1,1,12,1,codfort,cofdort,CODFORT,NWTL,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.83304,0,2,2,17,1,flech,felch,FLECH,NWTL,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.923855,0,3,3,19,1,bacoon,barkon,BACOON,NWRL,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.635555,0,4,4,4,1,laundry,laudnry,LAUNDRY,WTL,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.81917,0,5,5,16,1,clirate,crilate,CLIRATE,NWTL,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,0.669315,0,6,6,15,1,etephant,etpheant,ETEPHANT,NWTL,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.670115,0,7,7,9,1,parcel,pafbel,PARCEL,WRL,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.75542,0,8,8,7,1,nursery,nuftery,NURSERY,WRL,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.60255,0,9,9,5,1,library,lirbary,LIBRARY,WTL,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.71974,0,10,10,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.15025,0,11,11,2,1,festival,fetsival,FESTIVAL,WTL,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.834275,0,12,12,21,1,campet,cantet,CAMPET,NWRL,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.586465,0,13,13,8,1,picture,pimrure,PICTURE,WRL,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.974685,0,14,14,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.034385,0,15,15,18,1,alacus,afogus,ALACUS,NWRL,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.90003,0,16,16,14,1,dinital,ditinal,DINITAL,NWTL,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.952675,0,17,17,23,1,cnipper,crupper,CNIPPER,NWRL,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,2.205115,0,18,18,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.0331,0,19,19,11,1,violin,viprin,VIOLIN,WRL,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.695925,0,20,20,3,1,fifty,fitfy,FIFTY,WTL,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.80192,0,21,21,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.73483,0,22,22,13,1,cobcert,cocbert,COBCERT,NWTL,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.72074,0,23,23,0,1,coral,croal,CORAL,WTL,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,rolin,rofan,ROLIN,RLNW,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,space,4.74492,z,1,0.69871,0,0,0,126,1,,,,,,,,
,,,,,,,,,,,,stody,spady,STODY,RLNW,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,z,1,0.818215,0,1,1,142,1,,,,,,,,
,,,,,,,,,,,,drink,dwonk,DRINK,RL1,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,m,1,0.603095,0,2,2,14,1,,,,,,,,
,,,,,,,,,,,,match,mansh,MATCH,RL2,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,m,1,0.721735,0,3,3,35,1,,,,,,,,
,,,,,,,,,,,,foreign,foreasn,FOREIGN,RL2,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,m,1,2.602425,0,4,4,19,1,,,,,,,,
,,,,,,,,,,,,spear,spaer,SPEAR,TL2,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,m,1,0.75342,0,5,5,62,1,,,,,,,,
,,,,,,,,,,,,caterpiddar,catrepiddar,CATERPIDDAR,TLNW,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,z,1,0.92318,0,6,6,86,1,,,,,,,,
,,,,,,,,,,,,canivan,canvian,CANIVAN,TLNW,z,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,z,1,1.26906,0,7,7,84,1,,,,,,,,
,,,,,,,,,,,,hibernate,hibernole,HIBERNATE,RL2,m,7744,2020-10-13_14h59.41.824,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,m,1,1.000615,0,8,8,24,1,,,,,,,,
