Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,4.243355,space,16.4848,m,1,2.88647,0,0,0,5,1,library,lirbary,LIBRARY,WTL,m,8357,2020-10-30_18h56.11.178,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.966275,0,1,1,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,8357,2020-10-30_18h56.11.178,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,2.272165,0,2,2,15,1,etephant,etpheant,ETEPHANT,NWTL,z,8357,2020-10-30_18h56.11.178,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,2.094495,0,3,3,13,1,cobcert,cocbert,COBCERT,NWTL,z,8357,2020-10-30_18h56.11.178,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.419295,0,4,4,3,1,fifty,fitfy,FIFTY,WTL,m,8357,2020-10-30_18h56.11.178,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.996465,0,5,5,2,1,festival,fetsival,FESTIVAL,WTL,m,8357,2020-10-30_18h56.11.178,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.27605,0,6,6,14,1,dinital,ditinal,DINITAL,NWTL,z,8357,2020-10-30_18h56.11.178,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.899335,0,7,7,19,1,bacoon,barkon,BACOON,NWRL,z,8357,2020-10-30_18h56.11.178,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,2.649355,0,8,8,0,1,coral,croal,CORAL,WTL,m,8357,2020-10-30_18h56.11.178,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,1.99936,0,9,9,17,1,flech,felch,FLECH,NWTL,z,8357,2020-10-30_18h56.11.178,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.852205,0,10,10,12,1,codfort,cofdort,CODFORT,NWTL,z,8357,2020-10-30_18h56.11.178,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,4.167945,0,11,11,11,1,violin,viprin,VIOLIN,WRL,m,8357,2020-10-30_18h56.11.178,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
