Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,0.672315,space,8.18243,m,1,1.00844,0,0,0,7,1,nursery,nuftery,NURSERY,WRL,m,9222,2020-08-04_18h34.43.219,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.73463,0,1,1,23,1,cnipper,crupper,CNIPPER,NWRL,z,9222,2020-08-04_18h34.43.219,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.69226,0,2,2,10,1,twitter,twitofr,TWITTER,WRL,m,9222,2020-08-04_18h34.43.219,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.883065,0,3,3,14,1,dinital,ditinal,DINITAL,NWTL,z,9222,2020-08-04_18h34.43.219,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.6378,0,4,4,4,1,laundry,laudnry,LAUNDRY,WTL,m,9222,2020-08-04_18h34.43.219,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.73162,0,5,5,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,9222,2020-08-04_18h34.43.219,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.73256,0,6,6,0,1,coral,croal,CORAL,WTL,m,9222,2020-08-04_18h34.43.219,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.7015,0,7,7,15,1,etephant,etpheant,ETEPHANT,NWTL,z,9222,2020-08-04_18h34.43.219,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.99062,0,8,8,17,1,flech,felch,FLECH,NWTL,z,9222,2020-08-04_18h34.43.219,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.823955,0,9,9,21,1,campet,cantet,CAMPET,NWRL,z,9222,2020-08-04_18h34.43.219,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
