Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,0.68721,space,8.417035,z,1,1.26357,0,0,0,23,1,cnipper,crupper,CNIPPER,NWRL,z,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,2.25916,0,1,1,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,2.10241,0,2,2,17,1,flech,felch,FLECH,NWTL,z,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.96453,0,3,3,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.523335,0,4,4,10,1,twitter,twitofr,TWITTER,WRL,m,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.51484,0,5,5,15,1,etephant,etpheant,ETEPHANT,NWTL,z,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,3.661905,0,6,6,19,1,bacoon,barkon,BACOON,NWRL,z,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.26497,0,7,7,11,1,violin,viprin,VIOLIN,WRL,m,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.170045,0,8,8,3,1,fifty,fitfy,FIFTY,WTL,m,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.09781,0,9,9,14,1,dinital,ditinal,DINITAL,NWTL,z,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.78306,0,10,10,21,1,campet,cantet,CAMPET,NWRL,z,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.28743,0,11,11,13,1,cobcert,cocbert,COBCERT,NWTL,z,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.7843,0,12,12,2,1,festival,fetsival,FESTIVAL,WTL,m,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.47038,0,13,13,5,1,library,lirbary,LIBRARY,WTL,m,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.123395,0,14,14,18,1,alacus,afogus,ALACUS,NWRL,z,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.499705,0,15,15,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,2.0017,0,16,16,4,1,laundry,laudnry,LAUNDRY,WTL,m,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.866525,0,17,17,12,1,codfort,cofdort,CODFORT,NWTL,z,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.46888,0,18,18,8,1,picture,pimrure,PICTURE,WRL,m,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.418795,0,19,19,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.901495,0,20,20,16,1,clirate,crilate,CLIRATE,NWTL,z,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.04913,0,21,21,9,1,parcel,pafbel,PARCEL,WRL,m,7113,2020-08-03_01h25.33.980,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
