Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,1.077,space,4.423,m,1,1.207,0,0,0,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,3697,2020-10-14_15h23.05.688,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.807,0,1,1,0,1,coral,croal,CORAL,WTL,m,3697,2020-10-14_15h23.05.688,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.607,0,2,2,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,3697,2020-10-14_15h23.05.688,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.842,0,3,3,8,1,picture,pimrure,PICTURE,WRL,m,3697,2020-10-14_15h23.05.688,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.874,0,4,4,14,1,dinital,ditinal,DINITAL,NWTL,z,3697,2020-10-14_15h23.05.688,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.717,0,5,5,23,1,cnipper,crupper,CNIPPER,NWRL,z,3697,2020-10-14_15h23.05.688,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.731,0,6,6,15,1,etephant,etpheant,ETEPHANT,NWTL,z,3697,2020-10-14_15h23.05.688,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.562,0,7,7,5,1,library,lirbary,LIBRARY,WTL,m,3697,2020-10-14_15h23.05.688,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.83,0,8,8,9,1,parcel,pafbel,PARCEL,WRL,m,3697,2020-10-14_15h23.05.688,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.665,0,9,9,17,1,flech,felch,FLECH,NWTL,z,3697,2020-10-14_15h23.05.688,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
