Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,4.42011,space,7.547465,m,1,0.63538,0,0,0,8,1,picture,pimrure,PICTURE,WRL,m,8146,2020-10-20_15h28.21.481,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.20127,0,1,1,4,1,laundry,laudnry,LAUNDRY,WTL,m,8146,2020-10-20_15h28.21.481,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.177405,0,2,2,18,1,alacus,afogus,ALACUS,NWRL,z,8146,2020-10-20_15h28.21.481,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.611765,0,3,3,3,1,fifty,fitfy,FIFTY,WTL,m,8146,2020-10-20_15h28.21.481,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.317365,0,4,4,15,1,etephant,etpheant,ETEPHANT,NWTL,z,8146,2020-10-20_15h28.21.481,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.610375,0,5,5,13,1,cobcert,cocbert,COBCERT,NWTL,z,8146,2020-10-20_15h28.21.481,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.80028,0,6,6,5,1,library,lirbary,LIBRARY,WTL,m,8146,2020-10-20_15h28.21.481,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.48297,0,7,7,12,1,codfort,cofdort,CODFORT,NWTL,z,8146,2020-10-20_15h28.21.481,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.95312,0,8,8,14,1,dinital,ditinal,DINITAL,NWTL,z,8146,2020-10-20_15h28.21.481,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.06667,0,9,9,7,1,nursery,nuftery,NURSERY,WRL,m,8146,2020-10-20_15h28.21.481,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,,0,,0,10,10,0,1,coral,croal,CORAL,WTL,m,8146,2020-10-20_15h28.21.481,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
