Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,2.295,space,19.158,m,1,4.497,0,0,0,7,1,nursery,nuftery,NURSERY,WRL,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.847,0,1,1,8,1,picture,pimrure,PICTURE,WRL,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,2.181,0,2,2,19,1,bacoon,barkon,BACOON,NWRL,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.6,0,3,3,10,1,twitter,twitofr,TWITTER,WRL,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,0,2.112,0,4,4,0,1,coral,croal,CORAL,WTL,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,3.603,0,5,5,21,1,campet,cantet,CAMPET,NWRL,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.134,0,6,6,4,1,laundry,laudnry,LAUNDRY,WTL,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.564,0,7,7,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.829,0,8,8,13,1,cobcert,cocbert,COBCERT,NWTL,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.815,0,9,9,5,1,library,lirbary,LIBRARY,WTL,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.43,0,10,10,16,1,clirate,crilate,CLIRATE,NWTL,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.162,0,11,11,12,1,codfort,cofdort,CODFORT,NWTL,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.797,0,12,12,23,1,cnipper,crupper,CNIPPER,NWRL,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,2.128,0,13,13,2,1,festival,fetsival,FESTIVAL,WTL,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.364,0,14,14,17,1,flech,felch,FLECH,NWTL,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.262,0,15,15,3,1,fifty,fitfy,FIFTY,WTL,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,0,1.212,0,16,16,11,1,violin,viprin,VIOLIN,WRL,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,2.729,0,17,17,14,1,dinital,ditinal,DINITAL,NWTL,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.629,0,18,18,15,1,etephant,etpheant,ETEPHANT,NWTL,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,0,3.184,0,19,19,9,1,parcel,pafbel,PARCEL,WRL,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.733,0,20,20,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,0,2.252,0,21,21,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,0,1.613,0,22,22,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.078,0,23,23,18,1,alacus,afogus,ALACUS,NWRL,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,swallow,swalolw,SWALLOW,TL2,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,space,49.612,m,1,1.012,0,0,0,69,1,,,,,,,,
,,,,,,,,,,,,thirns,thowns,THIRNS,RLNW,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,z,1,1.968,0,1,1,148,1,,,,,,,,
,,,,,,,,,,,,flazer,falzer,FLAZER,TLNW,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,m,0,2.064,0,2,2,102,1,,,,,,,,
,,,,,,,,,,,,pavement,pvaement,PAVEMENT,TL1,m,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,m,1,3.496,0,3,3,42,1,,,,,,,,
,,,,,,,,,,,,spailt,sparft,SPAILT,RLNW,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,z,1,1.513,0,4,4,133,1,,,,,,,,
,,,,,,,,,,,,troasure,tronture,TROASURE,RLNW,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,z,1,0.898,0,5,5,146,1,,,,,,,,
,,,,,,,,,,,,callage,callgae,CALLAGE,TLNW,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,m,0,2.847,0,6,6,83,1,,,,,,,,
,,,,,,,,,,,,canivan,canvian,CANIVAN,TLNW,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,z,1,2.048,0,7,7,84,1,,,,,,,,
,,,,,,,,,,,,renorded,renaided,RENORDED,RLNW,z,9744,2020-08-05_11h21.47.804,ColomboPrimingTaskC,2020.1.2,MacIntel,60,,,,0,,0,8,8,124,1,,,,,,,,
