Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
space,4.18394,space,10.393165,z,1,2.401855,0,0,0,18,1,alacus,afogus,ALACUS,NWRL,z,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.23548,0,1,1,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.193945,0,2,2,15,1,etephant,etpheant,ETEPHANT,NWTL,z,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.90279,0,3,3,5,1,library,lirbary,LIBRARY,WTL,m,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,2.17651,0,4,4,14,1,dinital,ditinal,DINITAL,NWTL,z,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,0.63294,0,5,5,23,1,cnipper,crupper,CNIPPER,NWRL,z,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,0,0.58069,0,6,6,9,1,parcel,pafbel,PARCEL,WRL,m,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,0.712155,0,7,7,19,1,bacoon,barkon,BACOON,NWRL,z,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,0.64951,0,8,8,12,1,codfort,cofdort,CODFORT,NWTL,z,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.75577,0,9,9,4,1,laundry,laudnry,LAUNDRY,WTL,m,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.966365,0,10,10,2,1,festival,fetsival,FESTIVAL,WTL,m,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.449195,0,11,11,21,1,campet,cantet,CAMPET,NWRL,z,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.714015,0,12,12,7,1,nursery,nuftery,NURSERY,WRL,m,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.84984,0,13,13,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,1.39528,0,14,14,10,1,twitter,twitofr,TWITTER,WRL,m,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.78799,0,15,15,11,1,violin,viprin,VIOLIN,WRL,m,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.89548,0,16,16,3,1,fifty,fitfy,FIFTY,WTL,m,6913,2020-10-08_15h22.21.773,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
