Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
space,1.149,space,22.969,m,1,1.66,0,0,0,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.887,0,1,1,7,1,nursery,nuftery,NURSERY,WRL,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.155,0,2,2,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.083,0,3,3,18,1,alacus,afogus,ALACUS,NWRL,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.567,0,4,4,5,1,library,lirbary,LIBRARY,WTL,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.973,0,5,5,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,1.13,0,6,6,11,1,violin,viprin,VIOLIN,WRL,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.896,0,7,7,9,1,parcel,pafbel,PARCEL,WRL,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.287,0,8,8,16,1,clirate,crilate,CLIRATE,NWTL,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.818,0,9,9,3,1,fifty,fitfy,FIFTY,WTL,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.063,0,10,10,19,1,bacoon,barkon,BACOON,NWRL,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.004,0,11,11,13,1,cobcert,cocbert,COBCERT,NWTL,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.757,0,12,12,2,1,festival,fetsival,FESTIVAL,WTL,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.221,0,13,13,14,1,dinital,ditinal,DINITAL,NWTL,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.691,0,14,14,4,1,laundry,laudnry,LAUNDRY,WTL,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.684,0,15,15,8,1,picture,pimrure,PICTURE,WRL,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.162,0,16,16,23,1,cnipper,crupper,CNIPPER,NWRL,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.202,0,17,17,12,1,codfort,cofdort,CODFORT,NWTL,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.106,0,18,18,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.301,0,19,19,17,1,flech,felch,FLECH,NWTL,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.788,0,20,20,0,1,coral,croal,CORAL,WTL,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,0.989,0,21,21,15,1,etephant,etpheant,ETEPHANT,NWTL,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.141,0,22,22,21,1,campet,cantet,CAMPET,NWRL,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.781,0,23,23,10,1,twitter,twitofr,TWITTER,WRL,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,,,,,,,,,referee,raderee,REFEREE,RL1,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,space,2.412,m,1,1.72,0,0,0,52,1,,
,,,,,,,,,,,,senved,serced,SENVED,RLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,1.359,0,1,1,101,1,,
,,,,,,,,,,,,sleeve,sleone,SLEEVE,RL2,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.775,0,2,2,58,1,,
,,,,,,,,,,,,stilks,stliks,STILKS,TLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,1.163,0,3,3,135,1,,
,,,,,,,,,,,,drink,dirnk,DRINK,TL1,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.601,0,4,4,14,1,,
,,,,,,,,,,,,hoafe,houte,HOAFE,RLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,0.834,0,5,5,107,1,,
,,,,,,,,,,,,winner,winfor,WINNER,RL2,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.568,0,6,6,76,1,,
,,,,,,,,,,,,powerful,panerful,POWERFUL,RL1,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.665,0,7,7,49,1,,
,,,,,,,,,,,,return,rafurn,RETURN,RL1,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.67,0,8,8,53,1,,
,,,,,,,,,,,,plastic,prostic,PLASTIC,RL1,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.808,0,9,9,47,1,,
,,,,,,,,,,,,tomay,tovoy,TOMAY,RLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,1.163,0,10,10,149,1,,
,,,,,,,,,,,,chicken,cihcken,CHICKEN,TL1,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.691,0,11,11,11,1,,
,,,,,,,,,,,,crockle,corckle,CROCKLE,TLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,1.713,0,12,12,89,1,,
,,,,,,,,,,,,stomach,stomush,STOMACH,RL2,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.634,0,13,13,65,1,,
,,,,,,,,,,,,hibernate,hiberntae,HIBERNATE,TL2,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,1.085,0,14,14,24,1,,
,,,,,,,,,,,,rolin,roiln,ROLIN,TLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,1.008,0,15,15,126,1,,
,,,,,,,,,,,,scraff,srcaff,SCRAFF,TLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,1.082,0,16,16,128,1,,
,,,,,,,,,,,,meanwhile,meanwhlie,MEANWHILE,TL2,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.605,0,17,17,36,1,,
,,,,,,,,,,,,winter,winfur,WINTER,RL2,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.586,0,18,18,77,1,,
,,,,,,,,,,,,skiffed,skfifed,SKIFFED,TLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,1.14,0,19,19,130,1,,
,,,,,,,,,,,,wardrobe,wardrile,WARDROBE,RL2,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.668,0,20,20,75,1,,
,,,,,,,,,,,,dentist,dnetist,DENTIST,TL1,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.582,0,21,21,13,1,,
,,,,,,,,,,,,hospital,hospiatl,HOSPITAL,TL2,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.608,0,22,22,26,1,,
,,,,,,,,,,,,tronch,taunch,TRONCH,RLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,1.083,0,23,23,150,1,,
,,,,,,,,,,,,woary,wonvy,WOARY,RLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,0.877,0,24,24,153,1,,
,,,,,,,,,,,,callage,callgae,CALLAGE,TLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,1.774,0,25,25,83,1,,
,,,,,,,,,,,,talking,talkerg,TALKING,RL2,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.64,0,26,26,70,1,,
,,,,,,,,,,,,plain,proin,PLAIN,RL1,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.718,0,27,27,46,1,,
,,,,,,,,,,,,spear,spoir,SPEAR,RL2,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,2.18,0,28,28,62,1,,
,,,,,,,,,,,,spoff,swoff,SPOFF,RLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,0.863,0,29,29,143,1,,
,,,,,,,,,,,,fulore,fitore,FULORE,RLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,1.354,0,30,30,103,1,,
,,,,,,,,,,,,thirns,thowns,THIRNS,RLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,0.938,0,31,31,148,1,,
,,,,,,,,,,,,believe,bleieve,BELIEVE,TL1,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.624,0,32,32,5,1,,
,,,,,,,,,,,,renorded,renroded,RENORDED,TLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,1.574,0,33,33,124,1,,
,,,,,,,,,,,,awful,afwul,AWFUL,TL1,m,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,m,1,0.806,0,34,34,3,1,,
,,,,,,,,,,,,stoff,sotff,STOFF,TLNW,z,6810,2020-10-18_15h51.21.226,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,z,1,0.758,0,35,35,134,1,,
