Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
space,1.845625,space,6.3504,m,1,0.91719,0,0,0,4,1,laundry,laudnry,LAUNDRY,WTL,m,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,0.49972,0,1,1,8,1,picture,pimrure,PICTURE,WRL,m,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,0.567455,0,2,2,18,1,alacus,afogus,ALACUS,NWRL,z,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,0.579285,0,3,3,19,1,bacoon,barkon,BACOON,NWRL,z,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,0.61502,0,4,4,9,1,parcel,pafbel,PARCEL,WRL,m,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,0.629105,0,5,5,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,0.59642,0,6,6,3,1,fifty,fitfy,FIFTY,WTL,m,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,0.89201,0,7,7,23,1,cnipper,crupper,CNIPPER,NWRL,z,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,0.7357,0,8,8,16,1,clirate,crilate,CLIRATE,NWTL,z,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,2.143805,0,9,9,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,1.08405,0,10,10,0,1,coral,croal,CORAL,WTL,m,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,m,1,1.259765,0,11,11,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
,,,,z,1,0.683515,0,12,12,15,1,etephant,etpheant,ETEPHANT,NWTL,z,3697,2020-10-21_16h19.18.764,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,
