Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
space,1.92369,space,15.06693,m,1,0.978345,0,0,0,8,1,picture,pimrure,PICTURE,WRL,m,7754,2020-10-23_15h44.46.738,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,0.945055,0,1,1,19,1,bacoon,barkon,BACOON,NWRL,z,7754,2020-10-23_15h44.46.738,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.66746,0,2,2,3,1,fifty,fitfy,FIFTY,WTL,m,7754,2020-10-23_15h44.46.738,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.611215,0,3,3,2,1,festival,fetsival,FESTIVAL,WTL,m,7754,2020-10-23_15h44.46.738,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.16466,0,4,4,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,7754,2020-10-23_15h44.46.738,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,0.816015,0,5,5,17,1,flech,felch,FLECH,NWTL,z,7754,2020-10-23_15h44.46.738,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,1.298505,0,6,6,14,1,dinital,ditinal,DINITAL,NWTL,z,7754,2020-10-23_15h44.46.738,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,z,1,0.96984,0,7,7,12,1,codfort,cofdort,CODFORT,NWTL,z,7754,2020-10-23_15h44.46.738,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,0.629075,0,8,8,10,1,twitter,twitofr,TWITTER,WRL,m,7754,2020-10-23_15h44.46.738,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,1.05694,0,9,9,9,1,parcel,pafbel,PARCEL,WRL,m,7754,2020-10-23_15h44.46.738,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
,,,,m,1,1.2176,0,10,10,7,1,nursery,nuftery,NURSERY,WRL,m,7754,2020-10-23_15h44.46.738,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,,,,,,,,,
