Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
,,,,,,,,,,,,stomach,stomush,STOMACH,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.39466,0,5,5,65,1,,
,,,,,,,,,,,,forty,fotry,FORTY,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.35069,0,6,6,21,1,,
,,,,,,,,,,,,chupter,chutper,CHUPTER,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.21071,0,7,7,87,1,,
,,,,,,,,,,,,almond,amlond,ALMOND,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.991085,0,8,8,0,1,,
,,,,,,,,,,,,woary,wonvy,WOARY,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.73667,0,9,9,153,1,,
,,,,,,,,,,,,singer,sarger,SINGER,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.120305,0,10,10,57,1,,
,,,,,,,,,,,,biscuit,bsicuit,BISCUIT,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.06701,0,11,11,7,1,,
,,,,,,,,,,,,thirns,thowns,THIRNS,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.2715,0,12,12,148,1,,
,,,,,,,,,,,,holiday,holiady,HOLIDAY,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.960335,0,13,13,25,1,,
,,,,,,,,,,,,wilked,winted,WILKED,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.640725,0,14,14,152,1,,
,,,,,,,,,,,,dufty,dulpy,DUFTY,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.594865,0,15,15,97,1,,
,,,,,,,,,,,,legend,legned,LEGEND,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.00026,0,16,16,31,1,,
,,,,,,,,,,,,natural,natuarl,NATURAL,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.113675,0,17,17,37,1,,
,,,,,,,,,,,,hibernate,hiberntae,HIBERNATE,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.16208,0,18,18,24,1,,
,,,,,,,,,,,,thought,thourst,THOUGHT,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.227705,0,19,19,71,1,,
,,,,,,,,,,,,floats,folats,FLOATS,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.01781,0,20,20,17,1,,
,,,,,,,,,,,,spirit,spizat,SPIRIT,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.228395,0,21,21,63,1,,
,,,,,,,,,,,,sleeve,sleone,SLEEVE,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.997345,0,22,22,58,1,,
,,,,,,,,,,,,yowned,yoazed,YOWNED,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.220365,0,23,23,155,1,,
,,,,,,,,,,,,blanket,balnket,BLANKET,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.923,0,24,24,8,1,,
,,,,,,,,,,,,talking,talkerg,TALKING,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.93634,0,25,25,70,1,,
,,,,,,,,,,,,plain,proin,PLAIN,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.934745,0,26,26,46,1,,
,,,,,,,,,,,,swallow,swaldaw,SWALLOW,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.977235,0,27,27,69,1,,
,,,,,,,,,,,,tourist,tourant,TOURIST,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.96148,0,28,28,72,1,,
,,,,,,,,,,,,twotched,tartched,TWOTCHED,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.93117,0,29,29,151,1,,
,,,,,,,,,,,,niffling,nitffing,NIFFLING,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.18071,0,30,30,116,1,,
,,,,,,,,,,,,canivan,canvian,CANIVAN,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.499135,0,31,31,84,1,,
,,,,,,,,,,,,burning,bruning,BURNING,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.861805,0,32,32,9,1,,
,,,,,,,,,,,,heafs,heils,HEAFS,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.1089,0,33,33,106,1,,
,,,,,,,,,,,,skirping,skriping,SKIRPING,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.069835,0,34,34,131,1,,
,,,,,,,,,,,,panther,pirther,PANTHER,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.873455,0,35,35,40,1,,
,,,,,,,,,,,,rolief,roleif,ROLIEF,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.06348,0,36,36,125,1,,
,,,,,,,,,,,,pigeon,payeon,PIGEON,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.91002,0,37,37,45,1,,
,,,,,,,,,,,,scraff,srcaff,SCRAFF,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.077565,0,38,38,128,1,,
,,,,,,,,,,,,troasure,tronture,TROASURE,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.056405,0,39,39,146,1,,
,,,,,,,,,,,,tronch,taunch,TRONCH,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.02284,0,40,40,150,1,,
,,,,,,,,,,,,arvument,avrument,ARVUMENT,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.967145,0,41,41,79,1,,
,,,,,,,,,,,,wardrobe,wardrile,WARDROBE,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.564835,0,42,42,75,1,,
,,,,,,,,,,,,sibble,siblbe,SIBBLE,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,3.6146,0,43,43,129,1,,
,,,,,,,,,,,,rolin,roiln,ROLIN,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.0775,0,44,44,126,1,,
,,,,,,,,,,,,holmits,hofnits,HOLMITS,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.52862,0,45,45,108,1,,
,,,,,,,,,,,,orchestra,orchesrta,ORCHESTRA,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.84981,0,46,46,38,1,,
,,,,,,,,,,,,dored,droed,DORED,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.20774,0,47,47,96,1,,
,,,,,,,,,,,,stipping,stipporg,STIPPING,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.63912,0,48,48,140,1,,
,,,,,,,,,,,,crockle,corckle,CROCKLE,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.11058,0,49,49,89,1,,
,,,,,,,,,,,,fulore,fitore,FULORE,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.287045,0,50,50,103,1,,
,,,,,,,,,,,,birthday,brithday,BIRTHDAY,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.786985,0,51,51,6,1,,
,,,,,,,,,,,,swump,scomp,SWUMP,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.83635,0,52,52,144,1,,
,,,,,,,,,,,,difentions,difnetions,DIFENTIONS,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.384285,0,53,53,95,1,,
,,,,,,,,,,,,snake,snute,SNAKE,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.76877,0,54,54,61,1,,
,,,,,,,,,,,,penguin,purguin,PENGUIN,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.890725,0,55,55,43,1,,
,,,,,,,,,,,,hospital,hospiatl,HOSPITAL,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.94421,0,56,56,26,1,,
,,,,,,,,,,,,plastic,prostic,PLASTIC,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.927425,0,57,57,47,1,,
,,,,,,,,,,,,powerful,panerful,POWERFUL,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.927395,0,58,58,49,1,,
,,,,,,,,,,,,mirtioned,minfioned,MIRTIONED,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.643945,0,59,59,113,1,,
,,,,,,,,,,,,smooth,smouch,SMOOTH,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.83249,0,60,60,59,1,,
,,,,,,,,,,,,sunset,suncot,SUNSET,RL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.93304,0,61,61,68,1,,
,,,,,,,,,,,,knorn,klarn,KNORN,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.90316,0,62,62,109,1,,
,,,,,,,,,,,,proffed,porffed,PROFFED,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.05012,0,63,63,122,1,,
,,,,,,,,,,,,leopard,leoprad,LEOPARD,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.863495,0,64,64,32,1,,
,,,,,,,,,,,,forest,forset,FOREST,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.819975,0,65,65,20,1,,
,,,,,,,,,,,,market,marekt,MARKET,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.786515,0,66,66,34,1,,
,,,,,,,,,,,,crishing,cirshing,CRISHING,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.97749,0,67,67,90,1,,
,,,,,,,,,,,,spoff,swoff,SPOFF,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.660115,0,68,68,143,1,,
,,,,,,,,,,,,pavement,pirement,PAVEMENT,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.533675,0,69,69,42,1,,
,,,,,,,,,,,,roinwater,rionwater,ROINWATER,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.983445,0,70,70,123,1,,
,,,,,,,,,,,,stilks,stliks,STILKS,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.104785,0,71,71,135,1,,
,,,,,,,,,,,,emter,erfer,EMTER,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.045395,0,72,72,99,1,,
,,,,,,,,,,,,renorded,renroded,RENORDED,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,1.400195,0,73,73,124,1,,
,,,,,,,,,,,,lopely,lopary,LOPELY,RLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.96815,0,74,74,111,1,,
,,,,,,,,,,,,hotel,hoetl,HOTEL,TL2,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.824225,0,75,75,27,1,,
,,,,,,,,,,,,robber,ramber,ROBBER,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.985005,0,76,76,54,1,,
,,,,,,,,,,,,privary,privray,PRIVARY,TLNW,z,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,z,1,0.990935,0,77,77,121,1,,
,,,,,,,,,,,,entry,etnry,ENTRY,TL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,0.838425,0,78,78,15,1,,
,,,,,,,,,,,,scratch,swoatch,SCRATCH,RL1,m,8604,2020-10-14_12h56.24.415,ColomboPrimingTaskA,2020.1.2,Win32,60,,,m,1,1.092625,0,79,79,56,1,,
