Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
space,1.40056,space,9.336915,,0,0,0,0,14,1,dinital,ditinal,DINITAL,NWTL,z,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,,,,,,,,,,,,,
,,,,z,1,0,1,1,12,1,codfort,cofdort,CODFORT,NWTL,z,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,3.13922,,,,,,,,,,,,
,,,,z,1,0,2,2,13,1,cobcert,cocbert,COBCERT,NWTL,z,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,1.795385,,,,,,,,,,,,
,,,,m,0,0,3,3,19,1,bacoon,barkon,BACOON,NWRL,z,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,1.717695,,,,,,,,,,,,
,,,,m,1,0,4,4,11,1,violin,viprin,VIOLIN,WRL,m,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,1.0368,,,,,,,,,,,,
,,,,z,1,0,5,5,23,1,cnipper,crupper,CNIPPER,NWRL,z,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,2.972355,,,,,,,,,,,,
,,,,m,1,0,6,6,3,1,fifty,fitfy,FIFTY,WTL,m,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,1.017485,,,,,,,,,,,,
,,,,m,1,0,7,7,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,1.16685,,,,,,,,,,,,
,,,,m,1,0,8,8,2,1,festival,fetsival,FESTIVAL,WTL,m,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,0.760175,,,,,,,,,,,,
,,,,m,1,0,9,9,9,1,parcel,pafbel,PARCEL,WRL,m,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,1.01424,,,,,,,,,,,,
,,,,z,1,0,10,10,18,1,alacus,afogus,ALACUS,NWRL,z,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,2.937265,,,,,,,,,,,,
,,,,m,1,0,11,11,4,1,laundry,laudnry,LAUNDRY,WTL,m,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,1.78626,,,,,,,,,,,,
,,,,m,1,0,12,12,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,5069,2020-08-02_18h37.05.970,ColomboPrimingTaskA,2020.1.2,Win32,60,1.7155,,,,,,,,,,,,
