Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,1.81948,space,8.94717,z,1,1.867665,0,0,0,17,1,flech,felch,FLECH,NWTL,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,0.65713,0,1,1,18,1,alacus,afogus,ALACUS,NWRL,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,1.34285,0,2,2,13,1,cobcert,cocbert,COBCERT,NWTL,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,1.25497,0,3,3,16,1,clirate,crilate,CLIRATE,NWTL,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.376285,0,4,4,11,1,violin,viprin,VIOLIN,WRL,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.754055,0,5,5,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.54446,0,6,6,10,1,twitter,twitofr,TWITTER,WRL,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,0.496055,0,7,7,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.51562,0,8,8,2,1,festival,fetsival,FESTIVAL,WTL,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.832845,0,9,9,9,1,parcel,pafbel,PARCEL,WRL,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.483475,0,10,10,0,1,coral,croal,CORAL,WTL,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.90084,0,11,11,21,1,campet,cantet,CAMPET,NWRL,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.62851,0,12,12,12,1,codfort,cofdort,CODFORT,NWTL,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,0.46902,0,13,13,15,1,etephant,etpheant,ETEPHANT,NWTL,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.62862,0,14,14,7,1,nursery,nuftery,NURSERY,WRL,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.60008,0,15,15,5,1,library,lirbary,LIBRARY,WTL,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.75017,0,16,16,23,1,cnipper,crupper,CNIPPER,NWRL,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.647405,0,17,17,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.783615,0,18,18,8,1,picture,pimrure,PICTURE,WRL,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.781865,0,19,19,4,1,laundry,laudnry,LAUNDRY,WTL,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.63361,0,20,20,19,1,bacoon,barkon,BACOON,NWRL,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.66821,0,21,21,14,1,dinital,ditinal,DINITAL,NWTL,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.649925,0,22,22,3,1,fifty,fitfy,FIFTY,WTL,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.64988,0,23,23,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,stomach,slumach,STOMACH,RL1,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,space,6.5407,m,1,0.64877,0,0,0,65,1,,,,,,,,
,,,,,,,,,,,,motter,mlater,MOTTER,RLNW,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,z,1,0.582595,0,1,1,115,1,,,,,,,,
,,,,,,,,,,,,esferiment,emteriment,ESFERIMENT,RLNW,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,z,1,0.683065,0,2,2,100,1,,,,,,,,
,,,,,,,,,,,,button,butsan,BUTTON,RL2,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,m,1,0.54953,0,3,3,10,1,,,,,,,,
,,,,,,,,,,,,privary,privray,PRIVARY,TLNW,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,z,1,0.69923,0,4,4,121,1,,,,,,,,
,,,,,,,,,,,,instant,isntant,INSTANT,TL1,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,m,1,0.549815,0,5,5,29,1,,,,,,,,
,,,,,,,,,,,,curfomers,confomers,CURFOMERS,RLNW,z,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,z,1,0.686505,0,6,6,93,1,,,,,,,,
,,,,,,,,,,,,tourist,tawrist,TOURIST,RL1,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,m,1,0.632205,0,7,7,72,1,,,,,,,,
,,,,,,,,,,,,smooth,swioth,SMOOTH,RL1,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,m,1,0.63282,0,8,8,59,1,,,,,,,,
,,,,,,,,,,,,potato,pottao,POTATO,TL2,m,3294,2020-10-12_13h59.44.044,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,m,1,0.531495,0,9,9,48,1,,,,,,,,
