Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,7.61304,space,18.92617,m,1,1.328805,0,0,0,9,1,parcel,pafbel,PARCEL,WRL,m,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.54835,0,1,1,17,1,flech,felch,FLECH,NWTL,z,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.74943,0,2,2,16,1,clirate,crilate,CLIRATE,NWTL,z,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.980475,0,3,3,13,1,cobcert,cocbert,COBCERT,NWTL,z,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.96646,0,4,4,4,1,laundry,laudnry,LAUNDRY,WTL,m,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.52002,0,5,5,8,1,picture,pimrure,PICTURE,WRL,m,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.219125,0,6,6,3,1,fifty,fitfy,FIFTY,WTL,m,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.14996,0,7,7,18,1,alacus,afogus,ALACUS,NWRL,z,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.01757,0,8,8,19,1,bacoon,barkon,BACOON,NWRL,z,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.265745,0,9,9,0,1,coral,croal,CORAL,WTL,m,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.630895,0,10,10,11,1,violin,viprin,VIOLIN,WRL,m,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,2.68667,0,11,11,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.081425,0,12,12,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.433115,0,13,13,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,2.436225,0,14,14,12,1,codfort,cofdort,CODFORT,NWTL,z,7052,2020-10-22_20h57.34.019,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
