Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,1.662175,space,8.698355,m,1,0.79035,0,0,0,0,1,coral,croal,CORAL,WTL,m,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.57832,0,1,1,8,1,picture,pimrure,PICTURE,WRL,m,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.66665,0,2,2,5,1,library,lirbary,LIBRARY,WTL,m,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.700355,0,3,3,13,1,cobcert,cocbert,COBCERT,NWTL,z,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.64424,0,4,4,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.79772,0,5,5,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.565275,0,6,6,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.636365,0,7,7,17,1,flech,felch,FLECH,NWTL,z,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.621885,0,8,8,3,1,fifty,fitfy,FIFTY,WTL,m,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.834125,0,9,9,10,1,twitter,twitofr,TWITTER,WRL,m,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,0,0.549705,0,10,10,7,1,nursery,nuftery,NURSERY,WRL,m,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.583765,0,11,11,16,1,clirate,crilate,CLIRATE,NWTL,z,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.77239,0,12,12,15,1,etephant,etpheant,ETEPHANT,NWTL,z,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.64444,0,13,13,21,1,campet,cantet,CAMPET,NWRL,z,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.751635,0,14,14,4,1,laundry,laudnry,LAUNDRY,WTL,m,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.56725,0,15,15,18,1,alacus,afogus,ALACUS,NWRL,z,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.599005,0,16,16,11,1,violin,viprin,VIOLIN,WRL,m,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.70068,0,17,17,2,1,festival,fetsival,FESTIVAL,WTL,m,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.649585,0,18,18,19,1,bacoon,barkon,BACOON,NWRL,z,5011,2020-10-07_15h19.35.653,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
