Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,1.38048,space,6.776495,m,1,0.83504,0,0,0,4,1,laundry,laudnry,LAUNDRY,WTL,m,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.968975,0,1,1,9,1,parcel,pafbel,PARCEL,WRL,m,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.350755,0,2,2,12,1,codfort,cofdort,CODFORT,NWTL,z,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.4512,0,3,3,15,1,etephant,etpheant,ETEPHANT,NWTL,z,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.532085,0,4,4,2,1,festival,fetsival,FESTIVAL,WTL,m,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.71444,0,5,5,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.5143,0,6,6,3,1,fifty,fitfy,FIFTY,WTL,m,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.473025,0,7,7,8,1,picture,pimrure,PICTURE,WRL,m,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.49942,0,8,8,13,1,cobcert,cocbert,COBCERT,NWTL,z,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.489705,0,9,9,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.57943,0,10,10,17,1,flech,felch,FLECH,NWTL,z,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.668695,0,11,11,11,1,violin,viprin,VIOLIN,WRL,m,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.019165,0,12,12,14,1,dinital,ditinal,DINITAL,NWTL,z,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.13353,0,13,13,10,1,twitter,twitofr,TWITTER,WRL,m,5737,2020-10-21_16h50.47.069,ColomboPrimingTaskD,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
