Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,11.26589,space,10.522245,m,1,0.648795,0,0,0,11,1,violin,viprin,VIOLIN,WRL,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.88567,0,1,1,16,1,clirate,crilate,CLIRATE,NWTL,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.62112,0,2,2,4,1,laundry,laudnry,LAUNDRY,WTL,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.71769,0,3,3,9,1,parcel,pafbel,PARCEL,WRL,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.76813,0,4,4,22,1,chfistmas,chrustmas,CHFISTMAS,NWRL,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.765865,0,5,5,3,1,fifty,fitfy,FIFTY,WTL,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.68541,0,6,6,6,1,monopoly,mogomoly,MONOPOLY,WRL,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.947535,0,7,7,0,1,coral,croal,CORAL,WTL,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.832455,0,8,8,13,1,cobcert,cocbert,COBCERT,NWTL,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.968515,0,9,9,23,1,cnipper,crupper,CNIPPER,NWRL,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.965045,0,10,10,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,1.115605,0,11,11,21,1,campet,cantet,CAMPET,NWRL,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.74532,0,12,12,17,1,flech,felch,FLECH,NWTL,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.71809,0,13,13,12,1,codfort,cofdort,CODFORT,NWTL,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.81612,0,14,14,19,1,bacoon,barkon,BACOON,NWRL,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,0.83109,0,15,15,14,1,dinital,ditinal,DINITAL,NWTL,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.64867,0,16,16,2,1,festival,fetsival,FESTIVAL,WTL,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.740625,0,17,17,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.302845,0,18,18,15,1,etephant,etpheant,ETEPHANT,NWTL,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.88153,0,19,19,5,1,library,lirbary,LIBRARY,WTL,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,1.0487,0,20,20,18,1,alacus,afogus,ALACUS,NWRL,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.682855,0,21,21,10,1,twitter,twitofr,TWITTER,WRL,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.716725,0,22,22,8,1,picture,pimrure,PICTURE,WRL,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.646585,0,23,23,7,1,nursery,nuftery,NURSERY,WRL,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,lopely,lopary,LOPELY,RLNW,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,space,7.5732,z,1,1.197835,0,0,0,111,1,,,,,,,,
,,,,,,,,,,,,crims,cloms,CRIMS,RLNW,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,z,1,0.835625,0,1,1,91,1,,,,,,,,
,,,,,,,,,,,,stimp,stmip,STIMP,TLNW,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,z,1,1.532135,0,2,2,137,1,,,,,,,,
,,,,,,,,,,,,canivan,canuran,CANIVAN,RLNW,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,z,1,0.966005,0,3,3,84,1,,,,,,,,
,,,,,,,,,,,,proffed,porffed,PROFFED,TLNW,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,z,1,0.733495,0,4,4,122,1,,,,,,,,
,,,,,,,,,,,,snake,sorke,SNAKE,RL1,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,m,1,0.56034,0,5,5,61,1,,,,,,,,
,,,,,,,,,,,,midute,midoke,MIDUTE,RLNW,z,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,z,1,0.86178,0,6,6,114,1,,,,,,,,
,,,,,,,,,,,,legend,lgeend,LEGEND,TL1,m,3643,2020-10-20_14h32.33.089,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,m,1,0.56239,0,7,7,31,1,,,,,,,,
