Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,key_resp.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participants I.D.,date,expName,psychopyVersion,OS,frameRate,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_3.keys,key_resp_3.rt,typedWord,key_resp_4.keys,key_resp_4.rt,typedWord2,key_resp_5.keys,key_resp_5.rt
space,9.248455,space,20.14957,z,1,3.62992,0,0,0,19,1,bacoon,barkon,BACOON,NWRL,z,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,2.12086,0,1,1,14,1,dinital,ditinal,DINITAL,NWTL,z,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,,0,,0,2,2,23,1,cnipper,crupper,CNIPPER,NWRL,z,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,0,1.558235,0,3,3,4,1,laundry,laudnry,LAUNDRY,WTL,m,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,1.393155,0,4,4,17,1,flech,felch,FLECH,NWTL,z,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.34953,0,5,5,0,1,coral,croal,CORAL,WTL,m,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,3.275615,0,6,6,1,1,elderflower,elferdower,ELDERFLOWER,WTL,m,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.666545,0,7,7,3,1,fifty,fitfy,FIFTY,WTL,m,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,1.74854,0,8,8,8,1,picture,pimrure,PICTURE,WRL,m,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,0,1.751665,0,9,9,12,1,codfort,cofdort,CODFORT,NWTL,z,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,2.21993,0,10,10,5,1,library,lirbary,LIBRARY,WTL,m,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,0,2.17804,0,11,11,11,1,violin,viprin,VIOLIN,WRL,m,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,m,1,0.981245,0,12,12,10,1,twitter,twitofr,TWITTER,WRL,m,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
,,,,z,1,3.581905,0,13,13,20,1,bubbfes,buddfes,BUBBFES,NWRL,z,5026,2020-11-05_15h50.27.781,ColomboPrimingTaskD,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,
